"REF_DATE","GEO","DGUID","Gender (3)","Marital status (13)","Age (16)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Married","85 years and over","","0","units","0","","44.1.3.16","10790","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common-law","Total - Age","","0","units","0","","44.1.4.1","121270","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common-law","15 to 19 years","","0","units","0","","44.1.4.2","340","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common-law","20 to 24 years","","0","units","0","","44.1.4.3","7250","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common-law","25 to 29 years","","0","units","0","","44.1.4.4","21005","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common-law","30 to 34 years","","0","units","0","","44.1.4.5","18910","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common-law","35 to 39 years","","0","units","0","","44.1.4.6","13950","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common-law","40 to 44 years","","0","units","0","","44.1.4.7","10935","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common-law","45 to 49 years","","0","units","0","","44.1.4.8","10155","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common-law","50 to 54 years","","0","units","0","","44.1.4.9","10145","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common-law","55 to 59 years","","0","units","0","","44.1.4.10","10025","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common-law","60 to 64 years","","0","units","0","","44.1.4.11","7610","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common-law","65 to 69 years","","0","units","0","","44.1.4.12","4880","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common-law","70 to 74 years","","0","units","0","","44.1.4.13","3255","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common-law","75 to 79 years","","0","units","0","","44.1.4.14","1665","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common-law","80 to 84 years","","0","units","0","","44.1.4.15","785","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common-law","85 years and over","","0","units","0","","44.1.4.16","365","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Never married","Total - Age","","0","units","0","","44.1.5.1","84025","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Never married","15 to 19 years","","0","units","0","","44.1.5.2","340","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Never married","20 to 24 years","","0","units","0","","44.1.5.3","7230","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Never married","25 to 29 years","","0","units","0","","44.1.5.4","20750","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Never married","30 to 34 years","","0","units","0","","44.1.5.5","17760","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Never married","35 to 39 years","","0","units","0","","44.1.5.6","11575","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Never married","40 to 44 years","","0","units","0","","44.1.5.7","7525","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Never married","45 to 49 years","","0","units","0","","44.1.5.8","5630","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Never married","50 to 54 years","","0","units","0","","44.1.5.9","4595","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Never married","55 to 59 years","","0","units","0","","44.1.5.10","3825","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Never married","60 to 64 years","","0","units","0","","44.1.5.11","2410","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Never married","65 to 69 years","","0","units","0","","44.1.5.12","1220","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Never married","70 to 74 years","","0","units","0","","44.1.5.13","730","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Never married","75 to 79 years","","0","units","0","","44.1.5.14","260","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Never married","80 to 84 years","","0","units","0","","44.1.5.15","115","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Never married","85 years and over","","0","units","0","","44.1.5.16","65","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Separated","Total - Age","","0","units","0","","44.1.6.1","7190","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Separated","20 to 24 years","","0","units","0","","44.1.6.3","10","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Separated","25 to 29 years","","0","units","0","","44.1.6.4","105","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Separated","30 to 34 years","","0","units","0","","44.1.6.5","360","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Separated","35 to 39 years","","0","units","0","","44.1.6.6","690","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Separated","40 to 44 years","","0","units","0","","44.1.6.7","995","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Separated","45 to 49 years","","0","units","0","","44.1.6.8","1135","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Separated","50 to 54 years","","0","units","0","","44.1.6.9","1250","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Separated","55 to 59 years","","0","units","0","","44.1.6.10","1100","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Separated","60 to 64 years","","0","units","0","","44.1.6.11","745","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Separated","65 to 69 years","","0","units","0","","44.1.6.12","410","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Separated","70 to 74 years","","0","units","0","","44.1.6.13","225","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Separated","75 to 79 years","","0","units","0","","44.1.6.14","100","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Separated","80 to 84 years","","0","units","0","","44.1.6.15","50","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Separated","85 years and over","","0","units","0","","44.1.6.16","15","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Divorced","Total - Age","","0","units","0","","44.1.7.1","26825","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Divorced","20 to 24 years","","0","units","0","","44.1.7.3","5","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Divorced","25 to 29 years","","0","units","0","","44.1.7.4","140","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Divorced","30 to 34 years","","0","units","0","","44.1.7.5","760","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Divorced","35 to 39 years","","0","units","0","","44.1.7.6","1640","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Divorced","40 to 44 years","","0","units","0","","44.1.7.7","2330","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Divorced","45 to 49 years","","0","units","0","","44.1.7.8","3255","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Divorced","50 to 54 years","","0","units","0","","44.1.7.9","4070","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Divorced","55 to 59 years","","0","units","0","","44.1.7.10","4720","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Divorced","60 to 64 years","","0","units","0","","44.1.7.11","4000","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Divorced","65 to 69 years","","0","units","0","","44.1.7.12","2755","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Divorced","70 to 74 years","","0","units","0","","44.1.7.13","1800","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Divorced","75 to 79 years","","0","units","0","","44.1.7.14","900","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Divorced","80 to 84 years","","0","units","0","","44.1.7.15","320","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Divorced","85 years and over","","0","units","0","","44.1.7.16","110","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Widowed","Total - Age","","0","units","0","","44.1.8.1","3230","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Widowed","20 to 24 years","","0","units","0","","44.1.8.3","5","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Widowed","25 to 29 years","","0","units","0","","44.1.8.4","10","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Widowed","30 to 34 years","","0","units","0","","44.1.8.5","30","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Widowed","35 to 39 years","","0","units","0","","44.1.8.6","35","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Widowed","40 to 44 years","","0","units","0","","44.1.8.7","80","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Widowed","45 to 49 years","","0","units","0","","44.1.8.8","135","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Widowed","50 to 54 years","","0","units","0","","44.1.8.9","225","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Widowed","55 to 59 years","","0","units","0","","44.1.8.10","380","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Widowed","60 to 64 years","","0","units","0","","44.1.8.11","460","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Widowed","65 to 69 years","","0","units","0","","44.1.8.12","500","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Widowed","70 to 74 years","","0","units","0","","44.1.8.13","495","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Widowed","75 to 79 years","","0","units","0","","44.1.8.14","405","","","","0"
